q_id	prefix_first	jump_text	text	a	a_id	agent	next_q_id	database
-1			感谢您的咨询，祝您生活愉快。				0	
-2			正在为您跳转人工在线客服				0	all
-3			您好，请问您还有其他需求吗，您可以输入查流量，查话费，办理流量包等，如需人工服务，请输入转人工				0	
-4			感谢您的咨询，祝您生活愉快。				0	
-5			抱歉，我没有明白您的意思，您可以简短输入查流量，查话费，办理流量包等，如需人工服务，请输入转人工				0	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望查询手机卡余额	0-1		1	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望查询手机卡状态	0-2		2	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望查询手机卡资费（套餐）	0-3		3	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望查询资源余量（流量）	0-4		4	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望进行账单查询	0-5		5	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望进行详单查询	0-6		6	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望进行归属地查询	0-7		7	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户说你好等打招呼词汇或询问在吗，有人吗	0-23		23	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望进行PIN查询	0-24		24	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望进行ICCID查询	0-25		25	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户希望进行充值记录查询	0-8		8	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示流量使用异常，流量使用太多，流量又没了	0-9		9	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户需要补卡	0-10		10	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户需要过户	0-11		11	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户需要销户	0-12		12	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户需要更改套餐	0-13		13	
0	您好，欢迎来到【长江时代】公众号，您可以通过文字或者语音简短说出您的需求。/n您也可以通过点击下方对应按钮登录长江时代小程序进行办理，账号为您的手机号码，初始密码为123456或者身份证后6位。/n如需联系人工服务，请直接输入转人工或拨打客服热线：4001810025，人工客服工作时间为早上8:30至下午17:30。	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示无法接发短信	0-14		14	
