q_id	prefix_first	jump_text	text	a	a_id	agent	next_q_id	database
-1			感谢您的来电，祝您生活愉快。					
-2			正在为您转接人工服务，请您不要挂机			to_human		all
-3			您好，我没有听到您的声音，您可以说查流量，查话费，办理流量包等，按键服务请按#号键，其他业务请说出业务需求,如需人工服务，请说转人工				0	
-4			感谢您的来电，祝您生活愉快。					
-5			抱歉，我没有明白您的意思，您可以说查流量，查话费，办理流量包等，按键服务请按井号键，其他业务请说出业务需求，如需人工服务，请说转人工				0	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量，开通10元10G流量包等，您也可以微信关注“长江时代”公众号，账号为您的手机号码，初始密码为123456或者身份证后6位，自助查询，如需人工服务，请说转人工	请问还有什么可以帮到您？	请问有什么可以帮到您？	用户希望查询手机卡余额	0-1		1	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量，开通10元10G流量包等，您也可以微信关注“长江时代”公众号，账号为您的手机号码，初始密码为123456或者身份证后6位，自助查询，如需人工服务，请说转人工	请问还有什么可以帮到您？	请问有什么可以帮到您？	用户希望查询手机卡状态	0-2		2	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量，开通10元10G流量包等，您也可以微信关注“长江时代”公众号，账号为您的手机号码，初始密码为123456或者身份证后6位，自助查询，如需人工服务，请说转人工	请问还有什么可以帮到您？	请问有什么可以帮到您？	用户希望查询手机卡资费（套餐）	0-3		3	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量，开通10元10G流量包等，您也可以微信关注“长江时代”公众号，账号为您的手机号码，初始密码为123456或者身份证后6位，自助查询，如需人工服务，请说转人工	请问还有什么可以帮到您？	请问有什么可以帮到您？	用户希望查询资源余量（流量）	0-4		4	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量，开通10元10G流量包等，您也可以微信关注“长江时代”公众号，账号为您的手机号码，初始密码为123456或者身份证后6位，自助查询，如需人工服务，请说转人工	请问还有什么可以帮到您？	请问有什么可以帮到您？	用户希望进行账单查询	0-5		5	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量，开通10元10G流量包等，您也可以微信关注“长江时代”公众号，账号为您的手机号码，初始密码为123456或者身份证后6位，自助查询，如需人工服务，请说转人工	请问还有什么可以帮到您？	请问有什么可以帮到您？	用户希望进行详单查询	0-6		6	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量，开通10元10G流量包等，您也可以微信关注“长江时代”公众号，账号为您的手机号码，初始密码为123456或者身份证后6位，自助查询，如需人工服务，请说转人工	请问还有什么可以帮到您？	请问有什么可以帮到您？	用户希望进行归属地/PIN/ICCID查询	0-7		7	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量，开通10元10G流量包等，您也可以微信关注“长江时代”公众号，账号为您的手机号码，初始密码为123456或者身份证后6位，自助查询，如需人工服务，请说转人工	请问还有什么可以帮到您？	请问有什么可以帮到您？	用户希望进行充值记录查询	0-8		8	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示流量使用异常，流量使用太多，流量又没了	0-9		9	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户需要补卡	0-10		-2	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户需要过户	0-11		-2	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户需要销户	0-12		-2	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户需要更改套餐	0-13		-2	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示无法接发短信	0-14		-2	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示信号问题	0-15		-2	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示充值后未复机问题	0-16		16	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示手机双电信号卡无信号问题	0-17		17	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示自己没有开过我们公司号码，但名下有号码（一证通查）	0-18		18	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户想退还高额购卡费用	0-19		19	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户想查询停机原因	0-20		20	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示充值错误	0-21		21	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量开通10元10G流量包等，如需人工服务，请说转人工	请问还有什么可以帮您的吗？	请问有什么可以帮到您？	用户表示再线下开卡后开不了户	0-22		22	
0	您好，欢迎致电长江时代，我是智能语音客服，请您对着话筒简短说出您的需求，如查话费，查流量，开通10元10G流量包等，您也可以微信关注“长江时代”公众号，账号为您的手机号码，初始密码为123456或者身份证后6位，自助查询，如需人工服务，请说转人工	请问还有什么可以帮到您？	请问有什么可以帮到您？	用户没有提问	A		23	
