a_id	text	return_text	next_q_id
0-1	帮我查下手机卡余额		1
0-2	帮我查下手机卡状态		2
0-3	帮我查下资费		3
0-3	帮我查下套餐		3
0-4	帮我查下资源余量		4
0-4	帮我查下还剩多少流量		4
0-5	查下账单		5
0-6	查详单		6
0-7	查归属地		7
0-23	您好		23
0-23	你是机器人	是的我是小旭，是您的智能客服助手。我可以为您提供最新最热的活动，还可以帮您查询，为您指引，解决问题。\n如需转人工服务，请输入“转人工”哦~	0
0-23	你是真人	我是客服助手。我可以为您提供最新最热的活动，还可以帮您查询，为您指引，解决问题。\n如需转人工服务，请输入“转人工”哦~	0
0-23	在吗		23
0-23	有人吗		23
0-23	你是谁		23
0-24	查PIN		24
0-24	查pin		24
0-25	查ICCID		25
0-25	查iccid		25
0-8	查充值记录		8
0-8	充值没到账		8
0-9	流量用的这么快		9
0-9	卡的流量情况		9
0-9	都没装手机怎么跑的流量		9
0-10	补卡		10
0-11	过户		11
0-12	销户		12
0-13	更改套餐		13
0-13	换套餐		13
0-14	无法接发短信		14
0-14	消息发不出去		14
0-14	收不到短信		14
0-14	收不了短信		14
0-14	不能发短信		14
0-15	信号问题		15
0-16	充值后未复机		16
0-16	充了钱用不了		16
0-17	没有信号		17
0-18	没有开过卡，但是名下有号码		18
0-19	想退还高额购卡费用		19
0-20	停机原因		20
0-21	充值错误		21
0-22	再线下开卡后开不了户		22
0-26	想要修改密码		26
0-27	想要实名补登记		27
B	没有需求了或者说再见		-1
C	转人工		-2
C	在线客服		-2
C	在线咨询		-2
C	人工客服		-2
C	换真人		-2
0-29	5G	目前没有5G哦！\n\n===============\n如需更多服务，请输入“转人工”咨询在线客服。	0
0-30	开卡		30
0-31	标记查询	被人标记客服这边无法查询哦~	0
0-32	随机码是多少	随机码需要咨询购卡点。\n如果您的问题暂未得到解决，您可以输入“转人工”，咨询在线客服。	0
A	表达的意思不在上述选项中		100
